Spp,Fc,Sc,Dur,Fmax,Fmin,Fk,Tk,S1,BWDth,PkDur
Eptfus,29.28526,4.713065,7.548342,59.887861,27.236343,39.517113,1.826538,-8.96487,32.651519,30.618519
Eptfus,17.559672,4.35252,5.648861,42.775781,17.458818,28.696431,2.442577,-6.484192,25.316962,39.989495
Eptfus,29.061384,3.542897,8.703757,53.761133,27.181235,40.523202,0.363753,-12.98028,26.579897,17.552898
Eptfus,27.874317,1.228968,8.590644,44.557924,27.823095,31.234074,5.932786,-15.35628,16.734829,35.601557
Eptfus,29.549848,4.080674,4.589315,47.757157,28.281052,36.47201,0.717346,-8.794029,19.476105,36.175443
Eptfus,30.917076,5.519734,5.968025,66.466999,30.914342,43.60466,2.144367,-15.623431,35.552657,34.1614
Eptfus,35.46329,7.451147,5.21248,61.715392,29.242322,46.448511,1.738693,-9.221569,32.47307,28.696914
Eptfus,27.431583,12.444124,2.058348,51.13488,26.138835,34.755258,0.770381,-17.814455,24.996044,52.590895
Eptfus,29.527756,3.425198,6.620247,55.396903,29.525432,40.343842,0.237744,-13.823669,25.871471,27.436749
Eptfus,31.552586,4.694697,6.48156,59.717218,28.485848,40.188721,0.456324,-16.728982,31.23137,36.19786
Eptfus,27.692561,5.785067,5.640705,53.468365,23.159907,33.80973,0.222562,-5.838487,30.308458,54.886353
Eptfus,31.170087,6.918802,4.336965,62.569744,30.931152,41.815495,1.230587,-13.934869,31.638592,44.236995
Eptfus,30.584659,3.625754,8.601696,61.541156,29.179559,40.621777,0.931247,-8.812539,32.361597,31.245674
Eptfus,28.61806,2.389576,10.183939,61.584943,28.615866,37.980459,4.443214,-14.730734,32.969076,24.788946
Eptfus,29.562799,5.511958,4.48345,55.248606,28.79733,40.430113,2.663719,-13.103709,26.451276,31.643936
Eptfus,32.876506,6.036463,5.960738,68.30294,31.91388,46.263901,1.115434,-11.321642,36.38906,36.031884
Eptfus,42.982862,15.321862,2.503994,76.979399,40.07322,52.653295,0.226227,-23.018089,36.906179,50.688363
Eptfus,39.519829,10.49761,4.702752,86.126808,35.611721,52.022373,1.442236,-22.341841,50.515087,45.262535
Eptfus,37.275065,7.07174,5.642972,79.101878,35.177867,47.92123,2.414621,-24.056401,43.924011,39.047312
Eptfus,43.165899,11.552285,4.799828,90.582225,38.077822,56.34732,0.734196,-24.266289,52.504402,42.414855
Eptfus,40.407833,9.915699,3.809228,77.068959,38.495331,52.519491,0.933887,-15.107604,38.573629,45.840293
Eptfus,43.441425,16.977336,3.631507,91.941583,38.239366,54.732553,0.413271,-20.853724,53.702216,46.607202
